Timestamp,Building,SupplyTemp,ReturnTemp,SupplyTempReturnTempDerivation,OutsideTemp,SetbackActive,Slope_20min,DropFromPeak_4h,TempFallFlag
2024-11-01 08:30:00+00:00,Building 3,35.38,33.06,2.3200000000000003,8.0,1.0,-0.05064285714285705,2.0,0
2024-11-01 08:40:00+00:00,Building 3,34.44,31.94,2.4999999999999964,8.0,1.0,0.027612781954887214,2.940000000000005,0
2024-11-01 08:50:00+00:00,Building 3,34.12,32.88,1.2399999999999949,7.9,1.0,-0.060669172932331,3.260000000000005,0
2024-11-01 09:10:00+00:00,Building 3,36.06,32.62,3.440000000000005,7.9,1.0,0.0970000000000002,1.1299999999999955,0
2024-11-01 09:20:00+00:00,Building 3,33.94,32.38,1.5599999999999952,8.5,1.0,-0.06911654135338353,3.25,0
2024-11-01 09:30:00+00:00,Building 3,34.06,31.94,2.120000000000001,8.6,1.0,-0.09157894736842102,3.1299999999999955,0
2024-11-01 09:40:00+00:00,Building 3,33.81,31.62,2.1900000000000013,9.1,1.0,-0.007890977443608834,3.3799999999999955,0
2024-11-01 09:50:00+00:00,Building 3,33.62,31.81,1.8099999999999987,8.3,1.0,-0.021774436090225825,3.5700000000000003,0
2024-11-01 10:00:00+00:00,Building 3,34.75,32.0,2.75,8.5,1.0,0.0519624060150375,2.4399999999999977,0
2024-11-01 10:10:00+00:00,Building 3,33.62,31.75,1.8699999999999974,9.3,1.0,-0.008496240601503722,3.5700000000000003,0
2024-11-01 10:20:00+00:00,Building 3,33.75,31.88,1.870000000000001,9.7,1.0,-0.04526315789473688,3.4399999999999977,0
2024-11-01 10:30:00+00:00,Building 3,32.94,31.38,1.5599999999999987,10.2,1.0,-0.03753383458646618,4.25,0
2024-11-01 10:40:00+00:00,Building 3,33.75,32.5,1.25,10.6,1.0,0.00609022556390979,3.1899999999999977,0
2024-11-01 10:50:00+00:00,Building 3,36.56,31.94,4.620000000000001,10.8,1.0,0.1885187969924815,0.37999999999999545,0
2024-11-01 11:00:00+00:00,Building 3,33.19,32.19,1.0,11.0,1.0,-0.05123308270676702,3.75,0
2024-11-01 11:10:00+00:00,Building 3,36.31,31.69,4.620000000000001,11.6,1.0,0.011898496240601589,0.6299999999999955,0
2024-11-01 11:20:00+00:00,Building 3,33.0,31.94,1.0599999999999987,12.0,1.0,-0.03367293233082693,3.9399999999999977,0
2024-11-01 11:30:00+00:00,Building 3,35.69,32.12,3.5700000000000003,11.3,1.0,-0.008443609022556574,1.25,0
2024-11-01 11:40:00+00:00,Building 3,32.75,31.75,1.0,11.5,1.0,-0.03366541353383458,4.189999999999998,0
2024-11-01 11:50:00+00:00,Building 3,34.81,32.31,2.5,12.3,1.0,-0.025203007518796817,1.9399999999999977,0
2024-11-01 12:00:00+00:00,Building 3,32.44,31.38,1.0599999999999987,12.1,1.0,-0.032154135338346004,4.310000000000002,0
2024-11-01 12:10:00+00:00,Building 3,35.0,31.94,3.0599999999999987,12.3,1.0,0.028033834586466105,1.5600000000000023,0
2024-11-01 12:20:00+00:00,Building 3,32.31,31.31,1.0000000000000036,12.7,1.0,-0.026236842105262965,4.25,0
2024-11-01 12:30:00+00:00,Building 3,34.44,32.0,2.4399999999999977,12.3,1.0,-0.009879699248120474,2.1200000000000045,0
2024-11-01 12:50:00+00:00,Building 3,33.81,32.0,1.8100000000000023,13.6,1.0,-0.03149999999999973,2.75,0
2024-11-01 13:00:00+00:00,Building 3,31.88,30.88,1.0,13.1,1.0,-0.11832142857142859,4.680000000000003,0
2024-11-01 13:10:00+00:00,Building 3,33.69,31.75,1.9399999999999977,13.8,1.0,0.008060150375939622,2.8700000000000045,0
2024-11-01 13:20:00+00:00,Building 3,31.75,30.75,1.0,13.4,1.0,-0.020597744360902275,4.810000000000002,1
2024-11-01 13:30:00+00:00,Building 3,33.44,31.56,1.879999999999999,13.6,1.0,0.0011466165413534335,3.1200000000000045,0
2024-11-01 13:40:00+00:00,Building 3,31.56,30.62,0.9399999999999977,13.5,1.0,-0.022921052631579075,5.0000000000000036,0
2024-11-01 14:00:00+00:00,Building 3,29.0,28.38,0.620000000000001,13.7,1.0,-0.1279999999999999,7.560000000000002,1
2024-11-01 14:10:00+00:00,Building 3,28.06,27.44,0.6199999999999974,13.8,1.0,-0.10972180451127835,8.500000000000004,1
2024-11-01 14:20:00+00:00,Building 3,27.38,26.75,0.629999999999999,13.6,1.0,-0.08002255639097751,9.180000000000003,1
2024-11-01 14:30:00+00:00,Building 3,27.31,26.5,0.8099999999999987,13.8,1.0,-0.03520676691729322,9.250000000000004,1
2024-11-01 14:40:00+00:00,Building 3,29.38,27.88,1.5,13.7,1.0,0.1080451127819549,7.180000000000003,1
2024-11-01 14:50:00+00:00,Building 3,31.06,27.56,3.5,13.7,1.0,0.1860338345864662,5.2500000000000036,0
2024-11-01 15:00:00+00:00,Building 3,29.75,28.75,1.0,13.6,1.0,0.007259398496240705,6.560000000000002,0
